,main_category,unit_type,sub_category,max_range,min_range
Solar Fans_piece_Brand,Solar Fans,piece,Brand,1150.0,380.0
Solar Fans_piece_Capacity,Solar Fans,piece,Capacity,1700.0,660.0
Solar Fans_piece_Color,Solar Fans,piece,Color,950.0,380.0
Solar Fans_piece_Fan Color,Solar Fans,piece,Fan Color,400.0,400.0
Solar Fans_piece_Fan Type,Solar Fans,piece,Fan Type,950.0,380.0
Solar Fans_piece_Features,Solar Fans,piece,Features,660.0,660.0
Solar Fans_piece_Height,Solar Fans,piece,Height,1150.0,950.0
Solar Fans_piece_Material,Solar Fans,piece,Material,1710.0,140.0
Solar Fans_piece_Model,Solar Fans,piece,Model,1150.0,950.0
Solar Fans_piece_Model Number,Solar Fans,piece,Model Number,999.0,660.0
Solar Fans_piece_Model Number/Name,Solar Fans,piece,Model Number/Name,950.0,500.0
Solar Fans_piece_Motor Type,Solar Fans,piece,Motor Type,750.0,750.0
Solar Fans_piece_Mounting Type,Solar Fans,piece,Mounting Type,950.0,950.0
Solar Fans_piece_Panel Power,Solar Fans,piece,Panel Power,1700.0,1600.0
Solar Fans_piece_Power Source,Solar Fans,piece,Power Source,999.0,660.0
Solar Fans_piece_Size,Solar Fans,piece,Size,550.0,550.0
Solar Fans_piece_Type,Solar Fans,piece,Type,1710.0,380.0
Solar Fans_piece_Usage/Application,Solar Fans,piece,Usage/Application,2900.0,2900.0
Solar Fans_piece_Voltage,Solar Fans,piece,Voltage,1710.0,380.0
Solar Fans_piece_Warranty,Solar Fans,piece,Warranty,2300.0,750.0
Solar Fans_unit_Color,Solar Fans,unit,Color,2500.0,2500.0
Solar Fans_watt_Brand,Solar Fans,watt,Brand,700.0,700.0
Solar Fans_watt_Material,Solar Fans,watt,Material,700.0,700.0
Solar Fans_watt_Type,Solar Fans,watt,Type,700.0,700.0
Solar Pump Controller_20 container_Rated Power,Solar Pump Controller,20 container,Rated Power,18.0,18.0
Solar Pump Controller_20 container_Usage/Application,Solar Pump Controller,20 container,Usage/Application,18.0,18.0
Solar Pump Controller_box_Maximum Flow Rate,Solar Pump Controller,box,Maximum Flow Rate,11000.0,11000.0
Solar Pump Controller_box_Rated Power,Solar Pump Controller,box,Rated Power,11000.0,11000.0
Solar Pump Controller_kilowatt_Rated Power,Solar Pump Controller,kilowatt,Rated Power,22000.0,22000.0
Solar Pump Controller_number_Brand,Solar Pump Controller,number,Brand,42000.0,42000.0
Solar Pump Controller_number_Maximum Flow Rate,Solar Pump Controller,number,Maximum Flow Rate,15500.0,15500.0
Solar Pump Controller_number_Maximum Fluid Temperature,Solar Pump Controller,number,Maximum Fluid Temperature,42000.0,42000.0
Solar Pump Controller_number_Motor Horsepower,Solar Pump Controller,number,Motor Horsepower,23900.0,23900.0
Solar Pump Controller_number_Pump Type,Solar Pump Controller,number,Pump Type,23900.0,23900.0
Solar Pump Controller_number_Rated Power,Solar Pump Controller,number,Rated Power,15500.0,15500.0
Solar Pump Controller_number_Usage/Application,Solar Pump Controller,number,Usage/Application,23900.0,15000.0
Solar Pump Controller_number_Voltage,Solar Pump Controller,number,Voltage,42000.0,42000.0
Solar Pump Controller_piece_Brand,Solar Pump Controller,piece,Brand,24000.0,12000.0
Solar Pump Controller_piece_Capacity,Solar Pump Controller,piece,Capacity,13500.0,13500.0
Solar Pump Controller_piece_Electrode Material,Solar Pump Controller,piece,Electrode Material,13500.0,13500.0
Solar Pump Controller_piece_Input Phase,Solar Pump Controller,piece,Input Phase,25000.0,25000.0
Solar Pump Controller_piece_Maximum Flow Rate,Solar Pump Controller,piece,Maximum Flow Rate,21999.0,21000.0
Solar Pump Controller_piece_Model No,Solar Pump Controller,piece,Model No,1800.0,1800.0
Solar Pump Controller_piece_Motor Horsepower,Solar Pump Controller,piece,Motor Horsepower,33000.0,12000.0
Solar Pump Controller_piece_Motor Power,Solar Pump Controller,piece,Motor Power,25000.0,20000.0
Solar Pump Controller_piece_Motor Type,Solar Pump Controller,piece,Motor Type,45000.0,13500.0
Solar Pump Controller_piece_Motor type,Solar Pump Controller,piece,Motor type,73000.0,22000.0
Solar Pump Controller_piece_Power Source,Solar Pump Controller,piece,Power Source,42735.0,42735.0
Solar Pump Controller_piece_Pump Type,Solar Pump Controller,piece,Pump Type,39500.0,12000.0
Solar Pump Controller_piece_Rated Power,Solar Pump Controller,piece,Rated Power,21999.0,21000.0
Solar Pump Controller_piece_Usage/Application,Solar Pump Controller,piece,Usage/Application,45000.0,1800.0
Solar Pump Controller_piece_Voltage,Solar Pump Controller,piece,Voltage,45000.0,45000.0
Solar Pump Controller_unit_Brand,Solar Pump Controller,unit,Brand,21000.0,13000.0
Solar Pump Controller_unit_Input Phase,Solar Pump Controller,unit,Input Phase,21000.0,21000.0
Solar Pump Controller_unit_Maximum Flow Rate,Solar Pump Controller,unit,Maximum Flow Rate,9000.0,350.0
Solar Pump Controller_unit_Model,Solar Pump Controller,unit,Model,33000.0,12700.0
Solar Pump Controller_unit_Motor Horsepower,Solar Pump Controller,unit,Motor Horsepower,35500.0,22500.0
Solar Pump Controller_unit_Motor Type,Solar Pump Controller,unit,Motor Type,15000.0,15000.0
Solar Pump Controller_unit_Motor type,Solar Pump Controller,unit,Motor type,21500.0,4000.0
Solar Pump Controller_unit_Power,Solar Pump Controller,unit,Power,21500.0,12700.0
Solar Pump Controller_unit_Pump Type,Solar Pump Controller,unit,Pump Type,35500.0,22500.0
Solar Pump Controller_unit_Rated Power,Solar Pump Controller,unit,Rated Power,28000.0,15000.0
Solar Pump Controller_unit_Usage/Application,Solar Pump Controller,unit,Usage/Application,35500.0,10000.0
Sony Digital Camera_piece_Brand,Sony Digital Camera,piece,Brand,96990.0,7290.0
Sony Digital Camera_piece_Lens Mount,Sony Digital Camera,piece,Lens Mount,230490.0,149990.0
Sony Digital Camera_piece_Model Number,Sony Digital Camera,piece,Model Number,96990.0,7290.0
Sony Digital Camera_piece_Pixel Range,Sony Digital Camera,piece,Pixel Range,230490.0,230490.0
Sony Digital Camera_piece_Recording Format,Sony Digital Camera,piece,Recording Format,75990.0,7290.0
Sony Digital Camera_piece_Screen Size,Sony Digital Camera,piece,Screen Size,40000.0,40000.0
Sony Digital Camera_unit_Brand,Sony Digital Camera,unit,Brand,243214.0,49000.0
Sony Digital Camera_unit_Recording Format,Sony Digital Camera,unit,Recording Format,243214.0,243214.0
Spun Yarn_box_Count,Spun Yarn,box,Count,80.0,80.0
Spun Yarn_box_No. of ply,Spun Yarn,box,No. of ply,80.0,80.0
Spun Yarn_box_Pattern,Spun Yarn,box,Pattern,95.0,80.0
Spun Yarn_box_Usage,Spun Yarn,box,Usage,80.0,80.0
Spun Yarn_kilogram_Brand,Spun Yarn,kilogram,Brand,140.0,140.0
Spun Yarn_kilogram_Color,Spun Yarn,kilogram,Color,350.0,120.0
Spun Yarn_kilogram_Count,Spun Yarn,kilogram,Count,350.0,120.0
Spun Yarn_kilogram_Grade,Spun Yarn,kilogram,Grade,140.0,140.0
Spun Yarn_kilogram_Lustre,Spun Yarn,kilogram,Lustre,350.0,140.0
Spun Yarn_kilogram_Material,Spun Yarn,kilogram,Material,250.0,150.0
Spun Yarn_kilogram_No. Of Ply,Spun Yarn,kilogram,No. Of Ply,140.0,100.0
Spun Yarn_kilogram_No. of ply,Spun Yarn,kilogram,No. of ply,250.0,185.0
Spun Yarn_kilogram_Pattern,Spun Yarn,kilogram,Pattern,350.0,140.0
Spun Yarn_kilogram_Silk Type,Spun Yarn,kilogram,Silk Type,2500.0,2500.0
Spun Yarn_kilogram_Style,Spun Yarn,kilogram,Style,140.0,140.0
Spun Yarn_kilogram_Technique,Spun Yarn,kilogram,Technique,210.0,100.0
Spun Yarn_kilogram_Usage,Spun Yarn,kilogram,Usage,250.0,250.0
Spun Yarn_kilogram_Usage/Application,Spun Yarn,kilogram,Usage/Application,210.0,100.0
Spun Yarn_tons_Color,Spun Yarn,tons,Color,330.0,330.0
Spun Yarn_tons_Count,Spun Yarn,tons,Count,330.0,330.0
Spun Yarn_tons_Technique,Spun Yarn,tons,Technique,330.0,330.0
Spun Yarn_tons_Usage,Spun Yarn,tons,Usage,330.0,330.0
Stainless Steel Cable Tie_number_Brand,Stainless Steel Cable Tie,number,Brand,2.5,2.5
Stainless Steel Cable Tie_number_Color,Stainless Steel Cable Tie,number,Color,6.9,2.5
Stainless Steel Cable Tie_number_Length,Stainless Steel Cable Tie,number,Length,6.9,2.5
Stainless Steel Cable Tie_number_Packaging Size,Stainless Steel Cable Tie,number,Packaging Size,6.9,2.5
Stainless Steel Cable Tie_number_Width,Stainless Steel Cable Tie,number,Width,6.9,2.5
Stainless Steel Cable Tie_packet_Brand,Stainless Steel Cable Tie,packet,Brand,300.0,285.0
Stainless Steel Cable Tie_packet_Color,Stainless Steel Cable Tie,packet,Color,300.0,285.0
Stainless Steel Cable Tie_packet_Length,Stainless Steel Cable Tie,packet,Length,350.0,200.0
Stainless Steel Cable Tie_packet_Material,Stainless Steel Cable Tie,packet,Material,300.0,300.0
Stainless Steel Cable Tie_packet_Packaging Size,Stainless Steel Cable Tie,packet,Packaging Size,350.0,285.0
Stainless Steel Cable Tie_packet_Width,Stainless Steel Cable Tie,packet,Width,350.0,285.0
Stainless Steel Cable Tie_peice_Length,Stainless Steel Cable Tie,peice,Length,5.0,5.0
Stainless Steel Cable Tie_peice_Material,Stainless Steel Cable Tie,peice,Material,5.0,5.0
Stainless Steel Cable Tie_peice_Packaging Size,Stainless Steel Cable Tie,peice,Packaging Size,5.0,5.0
Stainless Steel Cable Tie_peice_Width,Stainless Steel Cable Tie,peice,Width,5.0,5.0
Stainless Steel Cable Tie_piece_Applications,Stainless Steel Cable Tie,piece,Applications,4.0,4.0
Stainless Steel Cable Tie_piece_Brand,Stainless Steel Cable Tie,piece,Brand,30.0,3.0
Stainless Steel Cable Tie_piece_Color,Stainless Steel Cable Tie,piece,Color,10.4,3.0
Stainless Steel Cable Tie_piece_Length,Stainless Steel Cable Tie,piece,Length,10.4,3.0
Stainless Steel Cable Tie_piece_Material,Stainless Steel Cable Tie,piece,Material,5.0,4.0
Stainless Steel Cable Tie_piece_Packaging Size,Stainless Steel Cable Tie,piece,Packaging Size,10.4,3.0
Stainless Steel Cable Tie_piece_Tensile Strength,Stainless Steel Cable Tie,piece,Tensile Strength,5.0,5.0
Stainless Steel Cable Tie_piece_Usage/Application,Stainless Steel Cable Tie,piece,Usage/Application,3.5,3.5
Stainless Steel Cable Tie_piece_Width,Stainless Steel Cable Tie,piece,Width,10.4,3.0
Stainless Steel Cable Tie_unit_Length,Stainless Steel Cable Tie,unit,Length,9645.0,9645.0
Stainless Steel Cable Tie_unit_Width,Stainless Steel Cable Tie,unit,Width,9645.0,9645.0
Steam Iron_box_Brand,Steam Iron,box,Brand,2300.0,1800.0
Steam Iron_box_Color,Steam Iron,box,Color,2300.0,1800.0
Steam Iron_box_Iron Type,Steam Iron,box,Iron Type,2300.0,1800.0
Steam Iron_box_Model Number,Steam Iron,box,Model Number,2300.0,1800.0
Steam Iron_box_Power,Steam Iron,box,Power,2300.0,1800.0
Steam Iron_foot_Brand,Steam Iron,foot,Brand,1.0,1.0
Steam Iron_foot_Features,Steam Iron,foot,Features,1.0,1.0
Steam Iron_foot_Power,Steam Iron,foot,Power,1.0,1.0
Steam Iron_number_Brand,Steam Iron,number,Brand,185000.0,5800.0
Steam Iron_number_Features,Steam Iron,number,Features,185000.0,700.0
Steam Iron_number_Power,Steam Iron,number,Power,30000.0,700.0
Steam Iron_piece_Brand,Steam Iron,piece,Brand,1400.0,450.0
Steam Iron_piece_Color,Steam Iron,piece,Color,3200.0,500.0
Steam Iron_piece_Features,Steam Iron,piece,Features,2300.0,1350.0
Steam Iron_piece_Iron Type,Steam Iron,piece,Iron Type,3200.0,2200.0
Steam Iron_piece_Model Name,Steam Iron,piece,Model Name,1080.0,1080.0
Steam Iron_piece_Model Number,Steam Iron,piece,Model Number,3200.0,250.0
Steam Iron_piece_Pack Type,Steam Iron,piece,Pack Type,1350.0,1080.0
Steam Iron_piece_Power,Steam Iron,piece,Power,1400.0,450.0
Steam Iron_piece_Type,Steam Iron,piece,Type,375.0,375.0
Steam Iron_piece_Usage/Application,Steam Iron,piece,Usage/Application,5800.0,799.0
Steam Iron_piece_Voltage,Steam Iron,piece,Voltage,3200.0,1200.0
Steam Iron_set_Brand,Steam Iron,set,Brand,2450.0,1800.0
Steam Iron_set_Color,Steam Iron,set,Color,1800.0,1800.0
Steam Iron_set_Iron Type,Steam Iron,set,Iron Type,2850.0,2450.0
Steam Iron_set_Power,Steam Iron,set,Power,2850.0,2450.0
Steam Iron_unit_Brand,Steam Iron,unit,Brand,3500.0,999.0
Steam Iron_unit_Color,Steam Iron,unit,Color,999.0,999.0
Steam Iron_unit_Features,Steam Iron,unit,Features,999.0,999.0
Steam Iron_unit_Iron Type,Steam Iron,unit,Iron Type,999.0,999.0
Steam Iron_unit_Power,Steam Iron,unit,Power,2280.0,2250.0
Tea Packaging Machine_number_Brand,Tea Packaging Machine,number,Brand,365000.0,365000.0
Tea Packaging Machine_number_Power,Tea Packaging Machine,number,Power,365000.0,365000.0
Tea Packaging Machine_packet_Filing Type,Tea Packaging Machine,packet,Filing Type,75000.0,75000.0
Tea Packaging Machine_packet_Pouch Capacity,Tea Packaging Machine,packet,Pouch Capacity,75000.0,75000.0
Tea Packaging Machine_packet_Usage/Application,Tea Packaging Machine,packet,Usage/Application,75000.0,75000.0
Tea Packaging Machine_piece_Automatic Grade,Tea Packaging Machine,piece,Automatic Grade,320000.0,95000.0
Tea Packaging Machine_piece_Automation Grade,Tea Packaging Machine,piece,Automation Grade,130000.0,75000.0
Tea Packaging Machine_piece_Brand,Tea Packaging Machine,piece,Brand,130000.0,125000.0
Tea Packaging Machine_piece_Filing Type,Tea Packaging Machine,piece,Filing Type,136000.0,125000.0
Tea Packaging Machine_piece_Machine Type,Tea Packaging Machine,piece,Machine Type,125000.0,125000.0
Tea Packaging Machine_piece_Material,Tea Packaging Machine,piece,Material,150000.0,150000.0
Tea Packaging Machine_piece_Model Number/Name,Tea Packaging Machine,piece,Model Number/Name,125000.0,125000.0
Tea Packaging Machine_piece_Packaging Material,Tea Packaging Machine,piece,Packaging Material,130000.0,115000.0
Tea Packaging Machine_piece_Packaging Type,Tea Packaging Machine,piece,Packaging Type,800000.0,800000.0
Tea Packaging Machine_piece_Pouch Capacity,Tea Packaging Machine,piece,Pouch Capacity,136000.0,125000.0
Tea Packaging Machine_piece_Power,Tea Packaging Machine,piece,Power,125000.0,125000.0
Tea Packaging Machine_piece_Sealing Type,Tea Packaging Machine,piece,Sealing Type,125000.0,125000.0
Tea Packaging Machine_piece_Usage/Application,Tea Packaging Machine,piece,Usage/Application,125000.0,125000.0
Tea Packaging Machine_set_Automatic Grade,Tea Packaging Machine,set,Automatic Grade,500000.0,450000.0
Tea Packaging Machine_set_Packaging Type,Tea Packaging Machine,set,Packaging Type,40000000.0,40000000.0
Tea Packaging Machine_unit_Automatic Grade,Tea Packaging Machine,unit,Automatic Grade,250000.0,75000.0
Tea Packaging Machine_unit_Automation Grade,Tea Packaging Machine,unit,Automation Grade,120000.0,70000.0
Tea Packaging Machine_unit_Brand,Tea Packaging Machine,unit,Brand,610000.0,115000.0
Tea Packaging Machine_unit_Capacity,Tea Packaging Machine,unit,Capacity,250000.0,70000.0
Tea Packaging Machine_unit_Filing Type,Tea Packaging Machine,unit,Filing Type,900000.0,250000.0
Tea Packaging Machine_unit_Machine Type,Tea Packaging Machine,unit,Machine Type,250000.0,115000.0
Tea Packaging Machine_unit_Material,Tea Packaging Machine,unit,Material,250000.0,115000.0
Tea Packaging Machine_unit_Model,Tea Packaging Machine,unit,Model,250000.0,75000.0
Tea Packaging Machine_unit_Model No.,Tea Packaging Machine,unit,Model No.,850000.0,850000.0
Tea Packaging Machine_unit_Packaging Material,Tea Packaging Machine,unit,Packaging Material,250000.0,250000.0
Tea Packaging Machine_unit_Packaging Type,Tea Packaging Machine,unit,Packaging Type,250000.0,115000.0
Tea Packaging Machine_unit_Pouch Capacity,Tea Packaging Machine,unit,Pouch Capacity,300000.0,70000.0
Tea Packaging Machine_unit_Power,Tea Packaging Machine,unit,Power,120000.0,95000.0
Tea Packaging Machine_unit_Sealing Type,Tea Packaging Machine,unit,Sealing Type,250000.0,145000.0
Tea Packaging Machine_unit_Surface Finish,Tea Packaging Machine,unit,Surface Finish,250000.0,250000.0
Tea Packaging Machine_unit_Usage/Application,Tea Packaging Machine,unit,Usage/Application,145000.0,120000.0
Textile Yarn_kilogram_Application,Textile Yarn,kilogram,Application,599.0,65.0
Textile Yarn_kilogram_Brand,Textile Yarn,kilogram,Brand,132.0,95.0
Textile Yarn_kilogram_Color,Textile Yarn,kilogram,Color,390.0,65.0
Textile Yarn_kilogram_Count,Textile Yarn,kilogram,Count,340.0,125.0
Textile Yarn_kilogram_Lustre,Textile Yarn,kilogram,Lustre,200.0,65.0
Textile Yarn_kilogram_Material,Textile Yarn,kilogram,Material,340.0,65.0
Textile Yarn_kilogram_No. Of Ply,Textile Yarn,kilogram,No. Of Ply,145.0,120.0
Textile Yarn_kilogram_No. of Ply,Textile Yarn,kilogram,No. of Ply,158.0,125.0
Textile Yarn_kilogram_No. of ply,Textile Yarn,kilogram,No. of ply,170.0,95.0
Textile Yarn_kilogram_Pattern,Textile Yarn,kilogram,Pattern,340.0,120.0
Textile Yarn_kilogram_Style,Textile Yarn,kilogram,Style,200.0,95.0
Textile Yarn_kilogram_Technique,Textile Yarn,kilogram,Technique,226.0,95.0
Textile Yarn_kilogram_Usage/Application,Textile Yarn,kilogram,Usage/Application,510.0,95.0
Textile Yarn_kilogram_Yarn Type,Textile Yarn,kilogram,Yarn Type,250.0,65.0
Textile Yarn_kilometer_Brand,Textile Yarn,kilometer,Brand,186.0,186.0
Textile Yarn_kilometer_Color,Textile Yarn,kilometer,Color,186.0,186.0
Textile Yarn_kilometer_Material,Textile Yarn,kilometer,Material,186.0,186.0
Textile Yarn_kilometer_Pack type,Textile Yarn,kilometer,Pack type,186.0,186.0
Textile Yarn_kilometer_Usage,Textile Yarn,kilometer,Usage,186.0,186.0
Textile Yarn_packet_Material,Textile Yarn,packet,Material,200.0,200.0
Textile Yarn_piece_Color,Textile Yarn,piece,Color,85.0,85.0
Three Phase Induction Motor_bag_No of Phase,Three Phase Induction Motor,bag,No of Phase,5200.0,5200.0
Three Phase Induction Motor_number_Brand,Three Phase Induction Motor,number,Brand,6500.0,5500.0
Three Phase Induction Motor_number_IP Rating,Three Phase Induction Motor,number,IP Rating,7500.0,5500.0
Three Phase Induction Motor_number_Motor Type,Three Phase Induction Motor,number,Motor Type,7500.0,5500.0
Three Phase Induction Motor_number_No Of Phase,Three Phase Induction Motor,number,No Of Phase,7500.0,5500.0
Three Phase Induction Motor_number_No of Phase,Three Phase Induction Motor,number,No of Phase,6500.0,6500.0
Three Phase Induction Motor_number_Power Rating,Three Phase Induction Motor,number,Power Rating,5500.0,5500.0
Three Phase Induction Motor_number_Rated Power,Three Phase Induction Motor,number,Rated Power,7500.0,5500.0
Three Phase Induction Motor_number_Speed,Three Phase Induction Motor,number,Speed,5500.0,5500.0
Three Phase Induction Motor_number_Voltage,Three Phase Induction Motor,number,Voltage,7500.0,6500.0
Three Phase Induction Motor_number_Warranty Period,Three Phase Induction Motor,number,Warranty Period,5500.0,5500.0
Three Phase Induction Motor_pair_Brand,Three Phase Induction Motor,pair,Brand,5160.0,4800.0
Three Phase Induction Motor_pair_Frame Size,Three Phase Induction Motor,pair,Frame Size,5160.0,4800.0
Three Phase Induction Motor_pair_Motor type,Three Phase Induction Motor,pair,Motor type,5160.0,5160.0
Three Phase Induction Motor_pair_Mounting,Three Phase Induction Motor,pair,Mounting,5160.0,4800.0
Three Phase Induction Motor_pair_Power,Three Phase Induction Motor,pair,Power,5160.0,5160.0
Three Phase Induction Motor_pair_Rated Power,Three Phase Induction Motor,pair,Rated Power,5160.0,4800.0
Three Phase Induction Motor_pair_Speed,Three Phase Induction Motor,pair,Speed,5160.0,4800.0
Three Phase Induction Motor_pair_Voltage,Three Phase Induction Motor,pair,Voltage,5160.0,4800.0
Three Phase Induction Motor_pair_Warranty Period,Three Phase Induction Motor,pair,Warranty Period,4800.0,4800.0
Three Phase Induction Motor_piece_Brand,Three Phase Induction Motor,piece,Brand,39870.0,1820.0
Three Phase Induction Motor_piece_Capacity,Three Phase Induction Motor,piece,Capacity,2950.0,2950.0
Three Phase Induction Motor_piece_Frame Size,Three Phase Induction Motor,piece,Frame Size,86900.0,1820.0
Three Phase Induction Motor_piece_IP Rating,Three Phase Induction Motor,piece,IP Rating,4500.0,1820.0
Three Phase Induction Motor_piece_Insulation Class,Three Phase Induction Motor,piece,Insulation Class,188650.0,7947.5
Three Phase Induction Motor_piece_Model,Three Phase Induction Motor,piece,Model,39870.0,6210.0
Three Phase Induction Motor_piece_Motor Horsepower,Three Phase Induction Motor,piece,Motor Horsepower,188650.0,7947.5
Three Phase Induction Motor_piece_Motor type,Three Phase Induction Motor,piece,Motor type,9400.0,8000.0
Three Phase Induction Motor_piece_Mounting,Three Phase Induction Motor,piece,Mounting,86900.0,1820.0
Three Phase Induction Motor_piece_Mounting Type,Three Phase Induction Motor,piece,Mounting Type,39870.0,6585.0
Three Phase Induction Motor_piece_No of Phase,Three Phase Induction Motor,piece,No of Phase,23300.0,2500.0
Three Phase Induction Motor_piece_Power,Three Phase Induction Motor,piece,Power,6585.0,1820.0
Three Phase Induction Motor_piece_Power rating,Three Phase Induction Motor,piece,Power rating,9400.0,8000.0
Three Phase Induction Motor_piece_Rated Power,Three Phase Induction Motor,piece,Rated Power,6000.0,1820.0
Three Phase Induction Motor_piece_Speed,Three Phase Induction Motor,piece,Speed,2600.0,1820.0
Three Phase Induction Motor_piece_Usage/Application,Three Phase Induction Motor,piece,Usage/Application,4350.0,2500.0
Three Phase Induction Motor_piece_Voltage,Three Phase Induction Motor,piece,Voltage,4500.0,1820.0
Three Phase Induction Motor_piece_Warranty Period,Three Phase Induction Motor,piece,Warranty Period,2500.0,2500.0
Three Phase Induction Motor_unit_Brand,Three Phase Induction Motor,unit,Brand,4650.0,2025.0
Three Phase Induction Motor_unit_Frame Size,Three Phase Induction Motor,unit,Frame Size,3060.0,3060.0
Three Phase Induction Motor_unit_IP Rating,Three Phase Induction Motor,unit,IP Rating,5000.0,5000.0
Three Phase Induction Motor_unit_Mounting,Three Phase Induction Motor,unit,Mounting,3550.0,3550.0
Three Phase Induction Motor_unit_Mounting Type,Three Phase Induction Motor,unit,Mounting Type,9000.0,9000.0
Three Phase Induction Motor_unit_No of Phase,Three Phase Induction Motor,unit,No of Phase,10000.0,2025.0
Three Phase Induction Motor_unit_Phase,Three Phase Induction Motor,unit,Phase,9000.0,3550.0
Three Phase Induction Motor_unit_Power,Three Phase Induction Motor,unit,Power,9000.0,3550.0
Three Phase Induction Motor_unit_Rated Power,Three Phase Induction Motor,unit,Rated Power,7000.0,2025.0
Three Phase Induction Motor_unit_Speed,Three Phase Induction Motor,unit,Speed,3550.0,3550.0
Three Phase Induction Motor_unit_Usage/Application,Three Phase Induction Motor,unit,Usage/Application,4000.0,4000.0
Three Phase Induction Motor_unit_Voltage,Three Phase Induction Motor,unit,Voltage,10000.0,2025.0
Toaster_piece_Brand,Toaster,piece,Brand,32000.0,300.0
Toaster_piece_Color,Toaster,piece,Color,8905.0,800.0
Toaster_piece_Features,Toaster,piece,Features,120999.0,120999.0
Toaster_piece_Handle Material,Toaster,piece,Handle Material,300.0,300.0
Toaster_piece_Material,Toaster,piece,Material,26000.0,300.0
Toaster_piece_Model Number,Toaster,piece,Model Number,42500.0,600.0
Toaster_piece_Number of Slices,Toaster,piece,Number of Slices,8000.0,6000.0
Toaster_piece_Power,Toaster,piece,Power,32000.0,600.0
Toaster_piece_Product Type,Toaster,piece,Product Type,300.0,300.0
Toaster_piece_Shape,Toaster,piece,Shape,300.0,300.0
Toaster_piece_Usage/Application,Toaster,piece,Usage/Application,120999.0,1726.0
Toaster_unit_Brand,Toaster,unit,Brand,1395.0,999.0
Toaster_unit_Color,Toaster,unit,Color,999.0,999.0
Toaster_unit_Material,Toaster,unit,Material,55000.0,34000.0
Toaster_unit_Model Number,Toaster,unit,Model Number,1395.0,999.0
Toaster_unit_Number of Slices,Toaster,unit,Number of Slices,55000.0,55000.0
Toaster_unit_Power,Toaster,unit,Power,55000.0,999.0
Toaster_unit_Usage/Application,Toaster,unit,Usage/Application,999.0,999.0
Tractor Front End Loader_ounce_Material,Tractor Front End Loader,ounce,Material,100000.0,100000.0
Tractor Front End Loader_piece_Brand,Tractor Front End Loader,piece,Brand,280000.0,280000.0
Tractor Front End Loader_piece_Capacity,Tractor Front End Loader,piece,Capacity,95000.0,30000.0
Tractor Front End Loader_piece_Condition,Tractor Front End Loader,piece,Condition,235000.0,150000.0
Tractor Front End Loader_piece_Dozer Blade Height,Tractor Front End Loader,piece,Dozer Blade Height,180000.0,180000.0
Tractor Front End Loader_piece_Dozer Blade Type,Tractor Front End Loader,piece,Dozer Blade Type,180000.0,180000.0
Tractor Front End Loader_piece_Dozer Blade Width,Tractor Front End Loader,piece,Dozer Blade Width,180000.0,180000.0
Tractor Front End Loader_piece_Dozer Type,Tractor Front End Loader,piece,Dozer Type,180000.0,180000.0
Tractor Front End Loader_piece_Features,Tractor Front End Loader,piece,Features,70000.0,30000.0
Tractor Front End Loader_piece_Loader Bucket Capacity,Tractor Front End Loader,piece,Loader Bucket Capacity,450000.0,315000.0
Tractor Front End Loader_piece_Material,Tractor Front End Loader,piece,Material,180000.0,30000.0
Tractor Front End Loader_piece_Model,Tractor Front End Loader,piece,Model,225000.0,30000.0
Tractor Front End Loader_piece_Name of Part,Tractor Front End Loader,piece,Name of Part,225000.0,180000.0
Tractor Front End Loader_piece_Tractor Brand,Tractor Front End Loader,piece,Tractor Brand,650000.0,30000.0
Tractor Front End Loader_piece_Type,Tractor Front End Loader,piece,Type,450000.0,30000.0
Tractor Front End Loader_piece_Usage/Application,Tractor Front End Loader,piece,Usage/Application,405000.0,280000.0
Tractor Front End Loader_piece_Warranty,Tractor Front End Loader,piece,Warranty,350000.0,70000.0
Tractor Front End Loader_set_Condition,Tractor Front End Loader,set,Condition,75000.0,75000.0
Tractor Front End Loader_set_Type,Tractor Front End Loader,set,Type,75000.0,75000.0
Tractor Front End Loader_unit_Backhoe Bucket Capacity,Tractor Front End Loader,unit,Backhoe Bucket Capacity,250000.0,250000.0
Tractor Front End Loader_unit_Brand,Tractor Front End Loader,unit,Brand,415000.0,230000.0
Tractor Front End Loader_unit_Capacity,Tractor Front End Loader,unit,Capacity,230000.0,220000.0
Tractor Front End Loader_unit_Condition,Tractor Front End Loader,unit,Condition,329000.0,190000.0
Tractor Front End Loader_unit_Features,Tractor Front End Loader,unit,Features,290000.0,230000.0
Tractor Front End Loader_unit_Loader Bucket Capacity,Tractor Front End Loader,unit,Loader Bucket Capacity,255000.0,170000.0
Tractor Front End Loader_unit_Material,Tractor Front End Loader,unit,Material,400000.0,35000.0
Tractor Front End Loader_unit_Maximum Dig Depth,Tractor Front End Loader,unit,Maximum Dig Depth,250000.0,250000.0
Tractor Front End Loader_unit_Maximum operating weight,Tractor Front End Loader,unit,Maximum operating weight,250000.0,250000.0
Tractor Front End Loader_unit_Model Number/Name,Tractor Front End Loader,unit,Model Number/Name,255000.0,255000.0
Tractor Front End Loader_unit_Name of Part,Tractor Front End Loader,unit,Name of Part,823000.0,290000.0
Tractor Front End Loader_unit_Tractor Brand,Tractor Front End Loader,unit,Tractor Brand,290000.0,170000.0
Tractor Front End Loader_unit_Type,Tractor Front End Loader,unit,Type,255000.0,190000.0
